S.No;GroupName;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
423;Projeto Gasoso - PA;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Projeto Gasoso - PA,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
424;Projeto Gasoso - PE;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Projeto Gasoso - PE,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
425;Projeto Gasoso - PP;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Projeto Gasoso - PP,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
426;Projeto Gasoso - PR;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Projeto Gasoso - PR,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
427;Projeto Gasoso - PV;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Projeto Gasoso - PV,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
428;Projeto Genesys - Stakeholders;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Projeto Genesys - Stakeholders,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
430;PRQ Turismo;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=PRQ Turismo,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
431;Quiosque Goiânia;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Quiosque Goiânia,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
433;Quiosques;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Quiosques,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
434;R&S;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=R&S,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
