S.No;Group Name;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
60;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Hospedagem_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Hospedagem_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
61;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Manutencao_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Manutencao_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
62;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Pousadas_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Pousadas_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
63;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Premium_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Premium_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
64;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Qualidade_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Qualidade_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
65;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Seguranca_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Seguranca_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
66;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacoes_Eventos_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacoes_Eventos_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
67;BRBAFS01_Relatorios_Gerenciais_Area_Diretoria_Operacoes_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Diretoria_Operacoes_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
68;BRBAFS01_Relatorios_Gerenciais_Consumo_Tel_Dir_Financeira_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Tel_Dir_Financeira_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
69;BRBAFS01_Relatorios_Gerenciais_Consumo_Tel_Dir_Vacation_Club_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Tel_Dir_Vacation_Club_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
70;BRBAFS01_Relatorios_Gerenciais_Consumo_Tel_Entretenimento_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Tel_Entretenimento_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
